transaction_id,customer_id,billing_date,store_id,region,item_id,item_name,category,quantity,unit_price,discount,total_amount
T0160,C113,01-03-2024,S004,South,I030,Table,Furniture,-2,16727,500,-33954
T0459,C013,2024/01/02,S003,East,I002,Chair,,4,8038,,32152
T0313,C177,01-03-2024,S001,North,I098,Table,Electronics,0,38362,,0
T0021,C155,2024-02-05,S004,North,I082,Table,electronics,2,2809,,5618
T0252,C109,01-03-2024,S004,North,I042,Table,electronics,3,27729,0,83187
T0747,C052,2024-01-01,S001,South,I028,Table,,-1,45522,0,-45522
T0856,C151,2024-01-01,S004,West,I009,Phone,electronics,3,49237,500,147211
T0560,C078,2024/01/02,S002,North,I011,Phone,Electronics,2,44286,,88572
T0474,C021,2024/01/02,S003,North,I045,TV,,2,24185,500,47870
T0058,C029,2024-02-05,S003,North,I029,Laptop,electronics,2,46637,,93274
T0510,C190,2024/01/02,S002,West,I093,Table,electronics,3,40663,1000,120989
T0681,C003,01-03-2024,S004,West,I081,Chair,Electronics,1,30932,0,30932
T0475,C058,2024-01-01,S004,North,I087,Phone,Electronics,-1,23572,500,-24072
T0699,C007,2024-01-01,S003,North,I031,Laptop,Electronics,2,48950,0,97900
T0975,C011,2024-01-01,S004,East,I072,TV,Electronics,1,20862,0,20862
T0782,C118,2024/01/02,S003,West,I046,Laptop,,-2,9607,1000,-20214
T0189,C158,2024-01-01,S003,East,I087,Table,,1,9678,1000,8678
T0957,C033,2024-01-01,S002,North,I062,Laptop,,-2,6811,,-13622
T0686,C081,2024-01-01,S003,North,I025,Table,Furniture,3,16079,1000,47237
T0957,C097,2024-02-05,S004,North,I002,Phone,Electronics,4,15149,,60596
T0562,C126,2024-02-05,S004,North,I022,Phone,Electronics,4,25097,1000,99388
T0875,C074,2024/01/02,S001,South,I074,Table,,1,40930,1000,39930
T0566,C104,2024-01-01,S004,South,I073,Chair,electronics,3,15933,500,47299
T0243,C048,2024/01/02,S001,South,I049,Phone,electronics,2,20285,1000,39570
T0831,C078,2024-01-01,S003,East,I035,Chair,Electronics,1,21846,500,21346
T0504,C184,2024-01-01,S004,West,I012,Table,Electronics,1,21957,1000,20957
T0130,C092,2024-01-01,S002,North,I028,Table,,2,9703,500,18906
T0484,C153,2024/01/02,S002,West,I037,Phone,Electronics,-2,11541,0,-23082
T0818,C017,2024/01/02,S002,South,I076,Chair,electronics,2,4670,,9340
T0646,C095,2024-01-01,S003,North,I089,Table,electronics,-1,32416,1000,-33416
T0020,C037,01-03-2024,S003,North,I083,Phone,Electronics,4,18567,500,73768
T0840,C086,2024/01/02,S001,East,I004,Table,,4,12945,1000,50780
T0166,C087,2024-02-05,S002,West,I019,Laptop,,1,44738,500,44238
T0273,C049,2024/01/02,S001,East,I077,Laptop,electronics,-1,42410,500,-42910
T0387,C007,2024-01-01,S001,South,I013,Phone,,2,27043,1000,53086
T0600,C168,01-03-2024,S004,West,I007,Table,electronics,4,4933,,19732
T0315,C133,2024-01-01,S004,South,I047,Phone,Electronics,3,39669,500,118507
T0013,C068,2024-02-05,S002,East,I012,TV,electronics,2,3440,0,6880
T0241,C171,2024/01/02,S003,East,I023,Phone,Electronics,0,43632,1000,-1000
T0776,C120,2024/01/02,S004,North,I078,Phone,,-1,12412,0,-12412
T0345,C063,2024-01-01,S003,West,I064,Laptop,Furniture,4,36712,500,146348
T0564,C156,2024-01-01,S001,West,I085,Laptop,Furniture,0,739,500,-500
T0897,C155,2024-02-05,S001,North,I033,Table,Furniture,-1,44288,1000,-45288
T0339,C138,01-03-2024,S001,West,I050,Phone,electronics,3,15311,,45933
T0091,C120,2024-02-05,S001,South,I002,Phone,Furniture,0,13596,0,0
T0366,C064,01-03-2024,S002,South,I089,Table,electronics,0,28945,,0
T0955,C106,2024/01/02,S001,East,I077,Chair,,-1,41019,0,-41019
T0454,C146,01-03-2024,S004,South,I057,Table,Electronics,2,30189,,60378
T0427,C136,01-03-2024,S001,West,I071,Laptop,Furniture,-2,41245,1000,-83490
T0508,C154,2024/01/02,S003,North,I054,Laptop,electronics,2,38268,0,76536
T0775,C161,2024/01/02,S004,East,I079,Phone,,-2,29772,1000,-60544
T0942,C171,2024/01/02,S003,North,I041,Laptop,,-1,16045,,-16045
T0034,C195,2024-02-05,S003,East,I020,Table,Furniture,1,17802,,17802
T0205,C099,2024/01/02,S002,East,I009,Phone,,2,8819,,17638
T0080,C081,2024-01-01,S002,North,I056,Table,,0,36127,1000,-1000
T0931,C142,2024/01/02,S003,South,I024,Table,,2,36351,500,72202
T0561,C050,2024/01/02,S003,South,I055,Phone,electronics,-1,19503,500,-20003
T0871,C140,2024/01/02,S001,South,I037,Chair,,1,26909,0,26909
T0387,C082,01-03-2024,S004,South,I085,Laptop,,1,42627,1000,41627
T0001,C176,2024-02-05,S001,North,I060,TV,,2,25250,1000,49500
T0389,C197,2024/01/02,S002,West,I046,TV,,2,10326,1000,19652
T0565,C111,2024-02-05,S002,East,I053,TV,,3,47040,,141120
T0105,C055,2024-01-01,S001,North,I045,Laptop,electronics,2,37272,1000,73544
T0771,C178,2024-01-01,S004,South,I067,Chair,,-1,42272,500,-42772
T0821,C164,2024/01/02,S003,South,I003,Table,,-2,38805,0,-77610
T0476,C144,2024-01-01,S001,North,I093,Phone,Electronics,3,34302,500,102406
T0702,C185,2024-02-05,S002,East,I065,Chair,,-2,8829,1000,-18658
T0401,C156,01-03-2024,S004,North,I092,TV,,0,24038,0,0
T0729,C160,2024/01/02,S002,North,I042,Laptop,electronics,4,37821,0,151284
T0555,C059,2024-01-01,S004,West,I061,Laptop,,-1,9866,1000,-10866
T0161,C119,2024-02-05,S004,North,I099,Phone,electronics,3,8484,1000,24452
T0201,C182,2024-02-05,S004,West,I084,Table,Furniture,1,25862,500,25362
T0957,C137,2024-01-01,S001,East,I084,Chair,,3,28824,500,85972
T0995,C174,2024-02-05,S001,North,I084,Chair,Electronics,0,25150,,0
T0269,C022,2024-02-05,S001,North,I003,Chair,electronics,1,20753,,20753
T0862,C148,2024/01/02,S004,South,I064,Table,Furniture,3,13607,,40821
T0815,C012,2024-02-05,S004,North,I061,Table,Electronics,1,7478,1000,6478
T0270,C100,2024-01-01,S002,South,I089,Table,electronics,2,42873,1000,84746
T0455,C160,2024/01/02,S003,South,I001,Phone,Furniture,1,45855,,45855
T0461,C023,2024-01-01,S001,South,I008,Laptop,Electronics,3,35305,,105915
T0726,C107,01-03-2024,S004,East,I056,TV,,1,11671,500,11171
T0251,C010,2024-01-01,S002,West,I044,Table,Electronics,-1,37420,,-37420
T0701,C016,2024-01-01,S002,South,I017,Laptop,Electronics,2,48953,,97906
T0295,C195,2024/01/02,S002,North,I047,Table,Electronics,2,30290,0,60580
T0724,C174,2024-02-05,S001,North,I041,TV,electronics,0,23680,,0
T0719,C024,2024-01-01,S001,South,I040,Table,,2,36622,0,73244
T0748,C093,2024/01/02,S003,South,I074,Laptop,,-2,6365,,-12730
T0337,C020,01-03-2024,S002,North,I088,Phone,electronics,-1,44589,0,-44589
T0878,C083,2024/01/02,S001,South,I089,TV,Electronics,0,49410,,0
T0052,C139,2024/01/02,S002,West,I057,Laptop,,-2,6841,500,-14182
T0791,C036,2024-02-05,S004,West,I099,Chair,Electronics,1,1937,1000,937
T0921,C041,2024-01-01,S002,East,I041,Chair,,4,17509,0,70036
T0216,C144,01-03-2024,S003,South,I034,Chair,electronics,-2,17142,1000,-35284
T0763,C100,2024/01/02,S001,East,I037,Phone,Furniture,0,17161,500,-500
T0187,C047,2024-01-01,S004,East,I066,Table,Electronics,2,29086,,58172
T0379,C102,2024-01-01,S001,East,I040,Table,,-1,20305,,-20305
T0492,C027,2024/01/02,S004,South,I098,Table,,4,35243,500,140472
T0040,C040,2024-01-01,S002,East,I049,Phone,,0,49527,1000,-1000
T0156,C098,2024/01/02,S002,West,I085,Chair,electronics,-2,6959,1000,-14918
T0014,C046,2024/01/02,S003,East,I071,Table,electronics,4,45607,1000,181428
T0812,C145,2024/01/02,S003,West,I078,Phone,Furniture,-2,34456,1000,-69912
T0064,C104,01-03-2024,S004,West,I044,Phone,electronics,0,21065,0,0
T0856,C123,2024/01/02,S003,South,I070,Laptop,Electronics,4,12954,1000,50816
T0838,C198,2024-02-05,S003,East,I018,Table,electronics,3,33113,0,99339
T0520,C012,2024-01-01,S003,South,I016,Chair,,3,31754,500,94762
T0343,C140,01-03-2024,S003,West,I064,TV,Electronics,0,41948,,0
T0128,C099,2024-01-01,S002,North,I092,Phone,electronics,3,43271,0,129813
T0647,C030,01-03-2024,S003,East,I076,Laptop,Electronics,0,23154,1000,-1000
T0471,C129,2024-02-05,S002,South,I055,TV,Electronics,2,8292,,16584
T0062,C015,01-03-2024,S002,North,I092,Phone,electronics,4,2284,0,9136
T0138,C136,01-03-2024,S001,East,I040,Laptop,Electronics,0,45306,,0
T0498,C072,01-03-2024,S002,East,I041,Table,,1,36119,500,35619
T0592,C165,2024-01-01,S002,South,I005,Laptop,,-1,16381,1000,-17381
T0391,C053,2024/01/02,S003,North,I068,Phone,electronics,-1,5963,500,-6463
T0674,C183,2024-01-01,S002,South,I097,Table,electronics,1,9802,,9802
T0418,C099,2024/01/02,S004,East,I074,Chair,,-2,36639,500,-73778
T0288,C108,2024-01-01,S003,East,I072,Laptop,electronics,-2,13636,1000,-28272
T0378,C086,2024-02-05,S003,West,I039,TV,,-2,42188,0,-84376
T0772,C172,2024-02-05,S003,East,I040,Table,Electronics,4,16177,500,64208
T0489,C161,01-03-2024,S001,East,I008,Table,electronics,-2,25373,1000,-51746
T0230,C136,2024-02-05,S003,North,I007,Chair,Furniture,2,31152,,62304
T0040,C007,01-03-2024,S002,North,I043,Laptop,,1,2519,500,2019
T0027,C006,2024/01/02,S004,West,I057,TV,,-1,13618,0,-13618
T0134,C035,2024-02-05,S003,West,I066,Chair,Electronics,1,7496,500,6996
T0200,C017,2024/01/02,S003,West,I012,Laptop,Furniture,-1,19112,,-19112
T0839,C002,2024-01-01,S004,South,I018,TV,Furniture,-2,40177,,-80354
T0779,C027,2024/01/02,S003,South,I097,TV,Furniture,2,12081,,24162
T0929,C069,2024-01-01,S001,West,I095,Phone,,0,33553,500,-500
T0032,C171,2024/01/02,S002,South,I048,TV,,0,2856,500,-500
T0047,C148,2024/01/02,S004,East,I079,Laptop,Furniture,3,5123,500,14869
T0502,C027,2024-02-05,S004,West,I099,Chair,electronics,-2,26518,0,-53036
T0406,C053,2024/01/02,S001,West,I081,Chair,Furniture,-2,21319,1000,-43638
T0573,C181,2024-02-05,S002,South,I077,Phone,Electronics,1,45426,500,44926
T0727,C064,2024-02-05,S001,North,I029,Laptop,Furniture,2,18456,0,36912
T0804,C099,01-03-2024,S002,West,I065,TV,Furniture,2,17194,,34388
T0098,C020,01-03-2024,S001,South,I076,Phone,Furniture,1,37953,500,37453
T0683,C012,2024-01-01,S003,South,I090,Table,electronics,2,5746,500,10992
T0871,C056,2024/01/02,S001,North,I058,Laptop,Furniture,4,47025,500,187600
T0725,C048,2024-01-01,S004,West,I052,Phone,Furniture,4,44027,0,176108
T0986,C117,2024/01/02,S004,North,I051,Chair,,2,12091,500,23682
T0546,C053,01-03-2024,S004,East,I080,Phone,Furniture,4,19078,500,75812
T0960,C137,01-03-2024,S001,North,I030,Table,Electronics,0,17576,1000,-1000
T0738,C052,2024/01/02,S004,North,I014,Laptop,,2,35823,0,71646
T0612,C043,2024/01/02,S004,South,I019,Phone,electronics,4,24887,1000,98548
T0942,C046,01-03-2024,S003,North,I004,TV,,-2,26257,1000,-53514
T0461,C052,01-03-2024,S003,East,I006,Laptop,electronics,0,48609,1000,-1000
T0642,C073,2024-01-01,S002,South,I017,Phone,electronics,-2,49192,1000,-99384
T0768,C045,01-03-2024,S002,East,I055,Phone,Electronics,-2,44891,,-89782
T0004,C012,2024/01/02,S002,North,I074,Laptop,Furniture,4,9735,500,38440
T0217,C164,2024-01-01,S001,East,I095,Chair,Electronics,4,15032,1000,59128
T0502,C101,2024/01/02,S002,East,I090,TV,,1,37011,0,37011
T0766,C023,2024-02-05,S001,North,I089,Laptop,electronics,3,40512,500,121036
T0397,C001,2024-01-01,S001,North,I044,TV,,2,35865,1000,70730
T0870,C080,2024/01/02,S002,South,I027,TV,electronics,2,38076,1000,75152
T0794,C099,01-03-2024,S002,South,I049,Laptop,,2,10046,0,20092
T0392,C141,2024-02-05,S001,West,I001,Phone,electronics,2,19463,,38926
T0206,C137,2024/01/02,S003,South,I083,Chair,Electronics,4,14487,0,57948
T0014,C162,2024-01-01,S004,North,I067,TV,electronics,0,3705,,0
T0857,C152,2024/01/02,S004,East,I076,TV,Furniture,-1,49673,,-49673
T0553,C130,2024-02-05,S004,East,I023,Phone,Electronics,-2,49862,,-99724
T0891,C110,2024-01-01,S003,South,I047,Laptop,Furniture,3,41505,1000,123515
T0460,C101,2024-02-05,S001,South,I044,Chair,,3,9252,1000,26756
T0690,C016,2024/01/02,S002,North,I092,TV,,-1,32998,,-32998
T0574,C011,01-03-2024,S001,East,I057,TV,electronics,-1,35515,,-35515
T0863,C181,01-03-2024,S001,West,I035,Laptop,electronics,-1,30443,1000,-31443
T0742,C115,2024/01/02,S002,West,I001,Phone,,4,45139,,180556
T0240,C023,2024/01/02,S003,South,I017,Table,Electronics,0,47577,1000,-1000
T0563,C028,2024/01/02,S004,West,I048,Phone,Furniture,-1,47754,,-47754
T0095,C170,2024-01-01,S004,North,I007,TV,,0,39541,1000,-1000
T0899,C152,2024-02-05,S001,West,I057,TV,Electronics,4,31948,0,127792
T0733,C121,2024-02-05,S003,South,I014,Chair,Furniture,1,43494,,43494
T0484,C187,2024-02-05,S004,North,I016,Phone,electronics,1,3829,,3829
T0406,C089,2024/01/02,S003,East,I022,Table,Electronics,3,37299,0,111897
T0230,C064,2024-02-05,S002,North,I065,Chair,Electronics,1,31555,500,31055
T0748,C083,2024/01/02,S001,South,I069,Table,,0,29912,,0
T0654,C118,2024-01-01,S001,South,I092,Chair,Furniture,0,1124,500,-500
T0170,C155,01-03-2024,S003,West,I026,Phone,,-2,26328,0,-52656
T0540,C015,2024/01/02,S004,West,I036,TV,electronics,-1,39907,,-39907
T0035,C174,2024/01/02,S003,East,I048,Table,electronics,2,17021,500,33542
T0524,C103,01-03-2024,S002,East,I063,Phone,Furniture,2,32279,,64558
T0159,C091,01-03-2024,S004,South,I033,Table,Furniture,-1,37459,,-37459
T0838,C185,2024-01-01,S004,South,I017,Phone,Furniture,2,32137,1000,63274
T0698,C026,2024-02-05,S003,South,I063,Chair,,2,33375,500,66250
T0242,C180,2024/01/02,S002,East,I073,Phone,Furniture,4,36792,1000,146168
T0085,C169,2024-02-05,S004,South,I043,Chair,Furniture,2,8972,1000,16944
T0795,C186,2024/01/02,S001,East,I016,TV,,3,25435,500,75805
T0577,C174,2024-01-01,S002,South,I058,Chair,electronics,0,20707,500,-500
T0681,C161,01-03-2024,S004,North,I012,Laptop,electronics,0,35061,1000,-1000
T0556,C164,2024-01-01,S003,North,I051,TV,Electronics,0,24566,,0
T0573,C133,01-03-2024,S004,South,I059,Phone,electronics,-1,15862,,-15862
T0952,C134,2024-02-05,S001,North,I041,Phone,Furniture,1,19030,0,19030
T0645,C152,2024-02-05,S002,East,I090,Laptop,electronics,3,4755,,14265
T0795,C032,2024-01-01,S004,West,I063,Phone,,3,5119,500,14857
T0027,C054,01-03-2024,S001,North,I065,TV,electronics,2,36442,500,72384
T0619,C185,2024-01-01,S004,West,I033,TV,electronics,-2,39414,0,-78828
T0555,C006,01-03-2024,S004,North,I094,Chair,Electronics,0,19764,500,-500
T0339,C056,01-03-2024,S002,East,I086,Table,Electronics,4,47545,1000,189180
T0797,C125,2024-02-05,S003,North,I070,Phone,Furniture,3,49078,0,147234
T0957,C011,2024-02-05,S003,North,I063,Laptop,,3,17024,0,51072
T0330,C015,01-03-2024,S001,South,I032,TV,Furniture,-2,46355,,-92710
T0639,C042,01-03-2024,S001,West,I011,TV,,2,49762,,99524
T0505,C116,01-03-2024,S001,West,I075,TV,,3,22646,1000,66938
T0347,C134,2024-02-05,S002,East,I018,Table,Electronics,3,14930,1000,43790
T0472,C110,2024-02-05,S003,East,I008,Table,electronics,1,12742,,12742
T0230,C050,2024/01/02,S001,West,I073,Phone,electronics,-2,23186,,-46372
T0189,C159,01-03-2024,S001,South,I016,Laptop,Electronics,4,49596,1000,197384
T0224,C074,2024/01/02,S004,South,I049,Table,Furniture,4,38047,,152188
T0384,C007,01-03-2024,S004,West,I038,Chair,electronics,2,47891,0,95782
T0376,C199,2024-02-05,S001,North,I040,Table,Furniture,2,30562,1000,60124
T0282,C044,2024/01/02,S004,West,I009,TV,electronics,0,39240,,0
T0957,C058,2024/01/02,S004,North,I011,Laptop,Furniture,1,45302,500,44802
T0632,C131,2024-01-01,S004,West,I078,Phone,,2,44429,500,88358
T0627,C103,01-03-2024,S002,North,I094,Table,,1,32176,1000,31176
T0972,C194,2024-02-05,S001,South,I014,TV,electronics,0,44882,500,-500
T0744,C156,2024-01-01,S001,West,I027,Chair,Furniture,4,43439,500,173256
T0258,C156,2024-01-01,S004,East,I003,Chair,Furniture,-2,41458,0,-82916
T0358,C097,01-03-2024,S002,North,I035,Phone,,3,22303,1000,65909
T0709,C155,2024-01-01,S004,South,I064,Phone,Furniture,3,48039,500,143617
T0455,C078,01-03-2024,S002,East,I097,Table,Electronics,-1,44466,,-44466
T0410,C123,2024-01-01,S001,South,I046,Phone,Furniture,-1,27956,1000,-28956
T0648,C171,01-03-2024,S004,North,I080,TV,,-1,46590,1000,-47590
T0317,C003,2024-02-05,S001,West,I038,TV,Electronics,3,45742,500,136726
T0676,C089,01-03-2024,S002,South,I037,TV,Electronics,1,9586,500,9086
T0224,C103,01-03-2024,S003,West,I043,Table,Furniture,-1,32258,0,-32258
T0818,C136,2024/01/02,S002,West,I050,Table,,-2,14781,,-29562
T0233,C118,2024-02-05,S003,South,I096,Phone,,2,11801,0,23602
T0683,C132,2024-02-05,S001,South,I084,Table,,1,15472,0,15472
T0663,C055,2024-02-05,S001,South,I025,TV,Electronics,3,26711,,80133
T0974,C095,2024-01-01,S004,West,I035,Laptop,,-2,5623,500,-11746
T0826,C177,2024/01/02,S003,East,I068,TV,Electronics,4,45893,0,183572
T0373,C074,2024-02-05,S002,North,I096,Laptop,Electronics,3,20333,1000,59999
T0671,C142,2024-01-01,S001,East,I000,Phone,electronics,1,25055,0,25055
T0607,C031,2024-01-01,S003,West,I052,Chair,Furniture,1,3863,,3863
T0471,C027,2024-01-01,S002,South,I005,Table,,1,47624,0,47624
T0232,C021,2024/01/02,S003,South,I036,Table,Electronics,0,46359,0,0
T0691,C016,2024-01-01,S002,North,I001,TV,Furniture,2,42721,1000,84442
T0112,C058,2024/01/02,S002,North,I068,TV,Electronics,-1,19542,,-19542
T0829,C089,01-03-2024,S002,East,I089,Laptop,Furniture,0,25982,1000,-1000
T0496,C198,2024-01-01,S002,East,I040,Table,Electronics,2,2565,500,4630
T0441,C105,2024-02-05,S003,North,I050,Phone,,3,4551,,13653
T0563,C184,2024-01-01,S003,West,I046,TV,electronics,-1,16161,0,-16161
T0267,C025,01-03-2024,S004,East,I012,Table,electronics,4,115,1000,-540
T0509,C024,01-03-2024,S003,South,I075,Chair,electronics,0,4510,1000,-1000
T0806,C137,2024-01-01,S003,South,I068,Laptop,Electronics,0,19064,,0
T0385,C044,01-03-2024,S004,West,I065,TV,Furniture,-2,5235,1000,-11470
T0386,C082,2024/01/02,S003,North,I058,TV,,4,48692,,194768
T0112,C010,2024/01/02,S002,East,I067,Phone,,4,8048,500,31692
T0612,C180,2024-01-01,S001,South,I058,TV,Electronics,0,4889,,0
T0624,C199,2024/01/02,S001,North,I090,Table,electronics,1,41128,,41128
T0951,C103,2024/01/02,S004,East,I009,Table,Electronics,3,8702,500,25606
T0080,C067,2024-02-05,S003,West,I012,Table,Furniture,4,7332,500,28828
T0698,C094,2024-01-01,S003,South,I001,Chair,electronics,0,43919,0,0
T0112,C155,01-03-2024,S004,West,I089,Chair,Electronics,1,48050,1000,47050
T0001,C064,2024-01-01,S001,West,I014,TV,Furniture,2,4935,500,9370
T0641,C048,2024/01/02,S002,West,I045,Chair,electronics,2,26166,500,51832
T0219,C174,2024-02-05,S003,East,I056,Chair,,4,28481,1000,112924
T0565,C051,2024-01-01,S004,West,I009,Phone,Furniture,1,36211,1000,35211
T0854,C101,2024-01-01,S002,East,I021,Chair,,-2,10869,0,-21738
T0996,C181,2024/01/02,S004,East,I088,Laptop,Furniture,-2,16756,0,-33512
T0735,C187,2024/01/02,S004,West,I078,Laptop,electronics,2,919,,1838
T0224,C056,2024-01-01,S004,West,I076,Laptop,Electronics,3,35483,0,106449
T0384,C046,2024/01/02,S001,North,I007,TV,Electronics,0,13248,500,-500
T0402,C158,2024/01/02,S001,South,I020,Table,Electronics,4,6169,500,24176
T0637,C173,2024/01/02,S004,North,I084,Phone,Electronics,4,5740,1000,21960
T0129,C025,2024/01/02,S003,South,I021,TV,Furniture,2,36852,0,73704
T0052,C113,2024/01/02,S002,South,I096,Table,Electronics,2,21374,,42748
T0683,C004,2024-02-05,S003,North,I044,Phone,Electronics,1,7801,,7801
T0729,C083,2024/01/02,S001,North,I090,Phone,Furniture,-2,19465,,-38930
T0671,C051,01-03-2024,S002,South,I039,Phone,Furniture,3,3139,,9417
T0709,C104,2024-01-01,S004,South,I021,Laptop,electronics,1,32015,1000,31015
T0415,C053,2024-02-05,S003,South,I029,Laptop,Furniture,2,43742,0,87484
T0246,C160,2024-02-05,S003,East,I061,Laptop,,-1,49854,0,-49854
T0835,C177,2024/01/02,S004,South,I072,Phone,electronics,0,47939,0,0
T0438,C165,2024-01-01,S003,West,I044,Phone,electronics,2,44997,0,89994
T0202,C154,01-03-2024,S001,West,I034,Laptop,Electronics,1,46989,,46989
T0183,C014,2024/01/02,S004,West,I081,Phone,Electronics,-1,45522,,-45522
T0122,C060,2024-01-01,S003,North,I041,Laptop,,-1,41315,1000,-42315
T0400,C121,2024/01/02,S004,North,I004,Laptop,Electronics,2,2587,1000,4174
T0766,C020,2024/01/02,S002,North,I026,Laptop,Furniture,3,34226,,102678
T0293,C045,2024/01/02,S004,South,I069,Table,Furniture,-2,27158,500,-54816
T0279,C196,2024/01/02,S003,West,I061,Phone,Electronics,-1,49941,0,-49941
T0836,C133,2024/01/02,S001,South,I031,TV,Electronics,4,28208,1000,111832
T0883,C037,2024/01/02,S004,East,I007,Laptop,Furniture,0,8599,,0
T0609,C061,2024/01/02,S004,East,I084,TV,electronics,1,6231,0,6231
T0197,C085,01-03-2024,S003,North,I017,Table,,1,36034,0,36034
T0981,C189,2024-02-05,S001,East,I077,Phone,,1,25084,,25084
T0906,C077,01-03-2024,S001,West,I014,Laptop,electronics,4,925,500,3200
T0510,C045,2024/01/02,S002,East,I025,Laptop,,2,1291,500,2082
T0751,C140,2024/01/02,S002,North,I052,Laptop,Electronics,1,43194,1000,42194
T0143,C002,01-03-2024,S003,South,I043,TV,Electronics,4,14807,,59228
T0608,C005,01-03-2024,S001,East,I031,Table,Electronics,1,39653,1000,38653
T0200,C092,2024-02-05,S001,West,I027,Phone,,0,28869,500,-500
T0123,C007,01-03-2024,S002,West,I038,Table,electronics,4,6913,1000,26652
T0186,C171,2024-02-05,S002,West,I031,Laptop,Electronics,-2,26450,1000,-53900
T0325,C107,2024/01/02,S003,South,I076,Table,electronics,3,22125,500,65875
T0463,C160,2024-01-01,S001,West,I078,TV,Furniture,2,29092,0,58184
T0348,C074,2024-01-01,S004,North,I017,Chair,Furniture,2,17017,0,34034
T0770,C076,2024-01-01,S002,North,I069,Chair,Furniture,1,43927,500,43427
T0659,C049,2024-01-01,S003,West,I010,Phone,,0,22994,0,0
T0763,C010,2024/01/02,S001,East,I031,Phone,,-1,34075,,-34075
T0954,C094,2024-01-01,S001,West,I019,Table,Electronics,4,25092,0,100368
T0931,C155,01-03-2024,S002,North,I096,Phone,Furniture,1,43836,500,43336
T0402,C069,01-03-2024,S003,North,I039,TV,electronics,4,1337,,5348
T0345,C168,2024-01-01,S004,North,I007,Laptop,,1,5043,1000,4043
T0962,C015,01-03-2024,S002,East,I034,Laptop,electronics,2,26619,500,52738
T0510,C067,2024-02-05,S003,East,I068,Table,electronics,2,26856,500,53212
T0146,C098,2024/01/02,S001,East,I098,Laptop,Electronics,1,43160,0,43160
T0147,C047,2024-01-01,S004,North,I077,Table,Electronics,2,21320,,42640
T0863,C183,2024-01-01,S003,South,I020,Phone,electronics,0,47898,500,-500
T0710,C063,2024/01/02,S004,West,I023,Phone,electronics,-1,28794,,-28794
T0819,C186,01-03-2024,S003,West,I016,TV,electronics,-1,48333,,-48333
T0488,C089,2024/01/02,S003,North,I017,Laptop,electronics,4,28350,0,113400
T0928,C189,2024/01/02,S003,East,I097,TV,Furniture,-1,14042,500,-14542
T0935,C075,01-03-2024,S003,South,I011,Chair,electronics,4,33327,,133308
T0639,C138,2024/01/02,S004,South,I015,TV,,1,41709,,41709
T0550,C100,01-03-2024,S002,East,I003,Table,Electronics,3,12869,1000,37607
T0337,C088,01-03-2024,S004,West,I088,Table,,1,16603,0,16603
